,Residential 12/1/2020,Residential 12/1/2019,Commercial 12/1/2020,Commercial 12/1/2019,Industrial 12/1/2020,Industrial 12/1/2019,Transportation 12/1/2020,Transportation 12/1/2019,All Sectors 12/1/2020,All Sectors12/1/2019
New England,20.37,20.86,15.71,16.11,12.55,13.06,8.99,8.62,17.35,17.74
Connecticut,20.39,20.3,16.38,16.4,12.8,13.29,13.8,11.76,18.06,18.14
Maine,16.51,17.95,12.41,13.03,9.01,9.3,--,--,13.4,14.28
Massachusetts,21.54,22.39,15.89,16.61,13.73,14.76,6.66,6.42,17.92,18.56
New Hampshire,18.74,19.71,15.34,15.56,13.51,13.49,--,--,16.66,17.15
Rhode Island,22.59,21.82,16.15,15.65,16.24,15.34,20.75,18.02,18.93,18.19
Vermont,19.04,19.23,16.44,16.15,11.14,11.24,--,--,16.26,16.19
Middle Atlantic,15.55,15.47,12,11.72,6.32,6.44,11.12,11.08,12.31,12.09
New Jersey,15.99,15.22,11.96,11.43,9.64,9.4,9.46,8.49,13.34,12.66
New York,18.23,17.33,14.01,13.37,5.61,5.44,11.72,11.88,14.58,13.83
Pennsylvania,13.15,13.98,8.36,8.69,6.08,6.35,8.97,7.12,9.69,10.07
East North Central,13.27,13.02,10.11,9.89,6.61,6.61,6.95,6.88,10.24,9.92
Illinois,12.32,12.79,8.67,8.82,6.47,6.24,6.79,6.76,9.37,9.34
Indiana,12.69,12.1,11.11,10.79,6.63,6.89,9.04,10.31,9.91,9.6
Michigan,16.47,15.69,12.19,11.42,7.58,6.95,11.52,10.67,12.67,11.67
Ohio,11.8,11.8,9.14,9.11,5.8,6.26,6.96,6.02,9.21,9.22
Wisconsin,14.52,13.72,10.84,10.38,7.35,7.1,14.42,13.33,11.08,10.5
West North Central,10.88,10.82,8.88,8.91,6.47,6.64,7.91,7.6,8.96,8.96
Iowa,11.31,11.13,8.99,8.89,5.46,5.61,--,--,8.16,8.11
Kansas,12.22,12.04,9.85,9.82,7.01,7.1,--,--,9.92,9.79
Minnesota,12.87,12.24,9.99,9.6,7.45,6.99,9.18,8.76,10.37,9.76
Missouri,9.3,9.85,7.64,8.11,5.6,6.53,6.37,6.37,8.19,8.7
Nebraska,10.13,9.91,8.68,8.49,6.37,6.88,--,--,8.44,8.48
North Dakota,9.39,9.18,8.38,8.32,7.06,7.38,--,--,8.04,8.17
South Dakota,11.39,11.01,9.42,9.43,7.62,7.67,--,--,9.87,9.74
South Atlantic,11.43,11.46,9.32,9.14,6.28,6.14,8.26,7.55,9.89,9.69
Delaware,12.51,12.16,9.46,9.07,6.81,7.45,--,--,10.37,10.22
District of Columbia,12.96,12.38,11.9,12.15,7.31,8.19,9.26,9.5,11.81,12.05
Florida,11.86,11.62,9.57,9.31,7.44,7.42,8.12,8.4,10.62,10.33
Georgia,10.8,9.54,10.04,8.45,5.51,4.77,5.41,3.78,9.42,8.06
Maryland,12.73,12.85,9.9,9.89,8.02,7.75,7.93,7.29,11.23,11.19
North Carolina,10.6,10.88,9.21,8.63,6.63,6.1,7.41,8.27,9.55,9.16
South Carolina,11.78,13.9,10.37,11.76,5.86,6.41,--,--,9.72,10.86
Virginia,11.21,11.73,7.46,8.11,6.41,6.72,8.58,7.9,9.12,9.53
West Virginia,11.41,10.55,9.32,8.92,6.07,5.93,--,--,8.85,8.38
East South Central,10.83,10.99,10.49,10.58,5.41,5.43,--,--,9.09,9.09
Alabama,11.39,11.19,10.91,10.55,5.55,5.17,--,--,9.17,8.75
Kentucky,10.53,10.85,10,10.34,5.13,5.45,--,--,8.5,8.68
Mississippi,11.25,11.27,11.02,10.79,5.85,5.87,--,--,9.31,9.22
Tennessee,10.41,10.82,10.31,10.64,5.17,5.48,--,--,9.38,9.65
West South Central,11.01,10.84,7.93,8.05,4.95,4.97,6.81,6.92,8.02,7.94
Arkansas,9.87,9.2,8.49,8.54,5.56,5.74,13.29,9.61,7.97,7.78
Louisiana,9.54,9.14,9.43,8.76,5.27,4.67,6.78,8.85,7.78,7.12
Oklahoma,8.88,9.11,7.05,7.39,4.27,4.6,--,--,6.87,7.09
Texas,11.87,11.71,7.75,7.98,4.89,5.02,6.81,6.77,8.27,8.28
Mountain,11.47,11.23,9.07,8.9,5.78,5.78,9.12,8.77,9.03,8.81
Arizona,12.18,11.61,9.73,9.56,5.57,5.64,8.54,8.38,9.96,9.67
Colorado,12.14,11.52,10.06,9.31,7.1,6.9,8.39,8,10.03,9.42
Idaho,9.92,9.79,7.65,7.29,5.53,5.22,--,--,8.14,7.83
Montana,11.02,11.03,10.33,10.51,5.29,5.25,--,--,9.34,9.13
Nevada,11.2,11.99,7.09,7.77,4.42,5.12,11.31,8.19,7.67,8.25
New Mexico,12.27,11.99,9.96,9.54,5.37,5.1,--,--,8.96,8.61
Utah,10.19,10.07,7.48,7.43,5.5,5.42,10.57,10.64,7.82,7.7
Wyoming,10.66,10.76,9.24,9.08,6.56,6.54,--,--,8.08,7.91
Pacific Contiguous,16.11,15.18,14.15,13.27,9.77,8.76,10.81,8.99,14.21,13.12
California,20.45,19.15,16.21,15.09,12.92,12.14,11.02,8.9,17.36,16.05
Oregon,10.89,10.81,8.98,8.71,6,5.53,9.48,9.07,9.25,8.82
Washington,9.77,9.57,9.08,8.84,5.38,4.68,10.02,9.64,8.68,8.17
Pacific Noncontiguous,25.8,27.37,23.55,24.45,20.96,23.34,--,--,23.59,25.07
Alaska,21.93,22.94,19.51,19.92,14.5,18.3,--,--,19.45,20.72
Hawaii,29.14,30.99,27.76,28.6,23.57,25.05,--,--,26.69,27.95
U.S. Total,12.8,12.68,10.48,10.32,6.4,6.38,9.81,9.46,10.44,10.22
